AMAZON,MICROSOFT,FDX,Netflix
13.11100006,22.39102364,94.38877869,26.34428596
13.01150036,22.34188271,95.10889435,25.99428558
13.09749985,22.56300926,94.6021347,25.85285759
12.86050034,22.81689072,94.246521,25.41285706
12.93500042,22.83327293,94.34429932,25.42142868
13.47350025,22.95611763,94.37986755,26.61000061
13.46199989,22.96430779,94.73545837,26.77142906
13.25450039,22.93974113,94.61101532,27.0728569
13.48750019,23.16269493,95.4200592,28.06428528
13.32050037,23.01406479,93.9620285,26.73142815
13.29699993,22.70026779,93.24191284,26.73571396
13.27099991,22.92322159,94.07759094,25.69428635
12.99349976,22.60117722,91.6683197,25.61714363
12.96800041,22.60117722,91.71276855,26.29857063
13.16250038,22.96451378,94.00646973,26.33142853
13.21350002,22.95625877,93.73087311,26.86857033
13.2869997,23.08012009,93.68642426,27.05285645
13.65550041,23.24527359,94.05982208,25.88714218
13.77950001,23.41043091,95.93567657,25.9614296
13.68949986,23.19573212,96.05126953,26.13428688
13.69400024,23.23700905,95.21446991,25.93714333
13.70950031,23.12140846,95.9622345,26.38571358
13.56200027,23.01406479,95.61507416,25.77857018
13.70650005,23.04708862,94.74265289,26.01571465
13.75500011,23.05534935,96.02457428,27.47999954
13.2869997,23.23700905,96.88803864,26.90999985
13.0909996,23.15444756,97.09276581,26.40714264
12.89449978,23.20398712,95.50822449,26.51285744
12.82050037,23.27004623,94.76938629,25.90999985
12.86400032,23.38565636,88.24430084,26.14999962
12.66950035,23.21224594,85.90312958,25.9985714
12.88749981,23.32784653,87.66568756,25.89999962
12.80099964,23.25352859,86.36599731,25.82714272
13.01550007,23.25352859,86.98913574,27.22999954
13.26500034,23.42694664,86.92683411,27.1771431
13.32450008,23.62512398,87.41641998,27.04000092
13.08049965,23.62512398,87.0425415,26.06142807
13.16600037,23.78201675,86.45503998,25.24142838
12.95149994,23.58383751,85.7072525,24.2485714
12.95400047,23.61686707,85.44021606,23.81285667
